athlete_id,event_date,event_type,description,impact_rating,career_phase
ATH_0004,2021-06-22,Training milestone,Reached 1000km milestone,7,Advanced
ATH_0004,2019-07-18,Career change,Started new position,10,Advanced
ATH_0004,2020-10-30,Location change,Relocated to new city,7,Advanced
ATH_0004,2019-01-26,Career change,Started new position,4,Advanced
ATH_0004,2023-05-09,Family event,Family event event,6,Advanced
ATH_0005,2024-11-11,Training camp,Training camp event,6,Advanced
ATH_0005,2018-03-09,Career change,Started new position,6,Advanced
ATH_0005,2021-02-12,Major competition,Major competition event,7,Advanced
ATH_0005,2023-08-20,Family event,Family event event,4,Advanced
ATH_0005,2023-06-02,Competition,Participated in regional qualifier,7,Advanced
ATH_0005,2019-03-06,Personal best,Personal best event,5,Advanced
ATH_0005,2023-03-22,Injury recovery,Injury recovery event,5,Advanced
ATH_0005,2020-12-27,Coach change,Coach change event,7,Advanced
ATH_0005,2020-01-08,Injury recovery,Injury recovery event,7,Advanced
ATH_0005,2021-03-04,Retirement consideration,Retirement consideration event,8,Advanced
ATH_0006,2022-02-21,Family event,Family event event,4,Elite Amateur
ATH_0006,2019-05-09,Team change,Team change event,8,Elite Amateur
ATH_0006,2024-03-14,Retirement consideration,Retirement consideration event,3,Elite Amateur
ATH_0006,2022-05-29,Sponsorship deal,Sponsorship deal event,5,Elite Amateur
ATH_0006,2021-09-25,Training milestone,Reached volume record,4,Elite Amateur
ATH_0006,2014-06-15,Injury recovery,Injury recovery event,6,Elite Amateur
ATH_0006,2020-07-04,Team change,Team change event,3,Elite Amateur
ATH_0006,2021-07-20,Competition,Participated in triathlon,6,Elite Amateur
ATH_0006,2021-06-12,Personal achievement,Personal achievement event,4,Elite Amateur
ATH_0006,2017-10-17,Injury recovery,Injury recovery event,6,Elite Amateur
ATH_0006,2020-07-27,Training milestone,Reached volume record,3,Elite Amateur
ATH_0006,2017-12-14,Personal best,Personal best event,6,Elite Amateur
ATH_0006,2023-08-15,Competition,Participated in triathlon,6,Elite Amateur
ATH_0006,2018-05-31,Major competition,Major competition event,4,Elite Amateur
ATH_0006,2018-08-20,Coach change,Coach change event,8,Elite Amateur
ATH_0006,2016-04-15,Race victory,Won local race,4,Elite Amateur
ATH_0006,2024-04-17,Family event,Family event event,4,Elite Amateur
ATH_0006,2016-02-13,Injury recovery,Injury recovery event,7,Elite Amateur
ATH_0007,2011-10-01,Career change,Started new position,7,Advanced
ATH_0007,2024-07-15,Training camp,Training camp event,6,Advanced
ATH_0007,2024-05-06,Family event,Family event event,6,Advanced
ATH_0007,2020-03-11,Team change,Team change event,3,Advanced
ATH_0007,2016-05-08,Personal best,Personal best event,5,Advanced
ATH_0007,2014-02-02,Injury recovery,Injury recovery event,3,Advanced
ATH_0007,2015-09-21,Retirement consideration,Retirement consideration event,5,Advanced
ATH_0007,2016-04-13,Education,Education event,3,Advanced
ATH_0007,2011-11-09,Major competition,Major competition event,2,Advanced
ATH_0007,2016-12-14,Coach change,Coach change event,6,Advanced
ATH_0007,2022-08-16,Training milestone,Reached volume record,2,Advanced
ATH_0007,2024-11-19,Coach change,Coach change event,4,Advanced
ATH_0007,2014-04-19,Coach change,Coach change event,3,Advanced
ATH_0007,2020-07-15,Career change,Started new position,2,Advanced
ATH_0007,2024-01-28,Race victory,Won division title,5,Advanced
ATH_0007,2011-05-12,Injury recovery,Injury recovery event,6,Advanced
ATH_0007,2020-08-08,Personal best,Personal best event,5,Advanced
ATH_0007,2017-02-03,Retirement consideration,Retirement consideration event,7,Advanced
ATH_0007,2024-01-02,Career change,Started new position,5,Advanced
ATH_0007,2014-05-14,Personal best,Personal best event,8,Advanced
ATH_0007,2012-09-16,Education,Education event,8,Advanced
ATH_0007,2013-11-16,Location change,Relocated to new city,5,Advanced
ATH_0007,2016-08-11,Training camp,Training camp event,6,Advanced
ATH_0007,2015-02-05,Career change,Started new position,7,Advanced
ATH_0007,2014-07-25,Personal achievement,Personal achievement event,6,Advanced
ATH_0007,2019-07-23,Major competition,Major competition event,5,Advanced
ATH_0008,2019-09-06,Team change,Team change event,7,Elite Amateur
ATH_0008,2013-07-12,Career change,Started new position,1,Elite Amateur
ATH_0008,2012-01-13,Competition,Participated in national event,6,Elite Amateur
ATH_0008,2017-12-30,Team change,Team change event,4,Elite Amateur
ATH_0008,2012-09-30,Retirement consideration,Retirement consideration event,5,Elite Amateur
ATH_0008,2015-01-30,Location change,Relocated to new city,5,Elite Amateur
ATH_0008,2017-12-26,Major competition,Major competition event,2,Elite Amateur
ATH_0008,2023-03-23,Education,Education event,5,Elite Amateur
ATH_0008,2018-06-09,Personal achievement,Personal achievement event,10,Elite Amateur
ATH_0008,2018-04-15,Retirement consideration,Retirement consideration event,3,Elite Amateur
ATH_0008,2013-06-11,Training milestone,Reached consistency streak,3,Elite Amateur
ATH_0008,2024-08-27,Sponsorship deal,Sponsorship deal event,6,Elite Amateur
ATH_0008,2018-04-21,Race victory,Won division title,7,Elite Amateur
ATH_0008,2019-11-19,Education,Education event,3,Elite Amateur
ATH_0008,2021-06-06,Sponsorship deal,Sponsorship deal event,5,Elite Amateur
ATH_0008,2019-10-25,Personal best,Personal best event,2,Elite Amateur
ATH_0008,2016-05-29,Team change,Team change event,5,Elite Amateur
ATH_0008,2016-01-19,Sponsorship deal,Sponsorship deal event,7,Elite Amateur
ATH_0008,2023-06-09,Injury recovery,Injury recovery event,5,Elite Amateur
ATH_0008,2015-12-19,Family event,Family event event,7,Elite Amateur
ATH_0008,2013-08-11,Personal best,Personal best event,3,Elite Amateur
ATH_0008,2012-10-22,Training milestone,Reached 100km month,4,Elite Amateur
ATH_0008,2022-08-24,Career change,Started new position,6,Elite Amateur
ATH_0008,2020-12-27,Personal achievement,Personal achievement event,5,Elite Amateur
ATH_0008,2024-10-13,Location change,Relocated to new city,5,Elite Amateur
ATH_0008,2021-05-30,Sponsorship deal,Sponsorship deal event,8,Elite Amateur
ATH_0008,2015-11-11,Career change,Started new position,5,Elite Amateur
ATH_0008,2012-08-26,Education,Education event,8,Elite Amateur
ATH_0008,2016-11-02,Personal achievement,Personal achievement event,8,Elite Amateur
ATH_0008,2018-04-18,Retirement consideration,Retirement consideration event,6,Elite Amateur
ATH_0008,2024-11-12,Career change,Started new position,10,Elite Amateur
ATH_0008,2018-12-27,Retirement consideration,Retirement consideration event,2,Elite Amateur
ATH_0008,2020-06-30,Location change,Relocated to new city,6,Elite Amateur
ATH_0008,2023-07-16,Education,Education event,5,Elite Amateur
ATH_0008,2022-12-25,Personal achievement,Personal achievement event,4,Elite Amateur
ATH_0008,2022-12-13,Training milestone,Reached 500km total,4,Elite Amateur
ATH_0008,2020-07-22,Education,Education event,5,Elite Amateur
ATH_0008,2022-04-01,Family event,Family event event,7,Elite Amateur
ATH_0008,2012-11-22,Training milestone,Reached volume record,6,Elite Amateur
ATH_0008,2022-07-18,Personal achievement,Personal achievement event,2,Elite Amateur
ATH_0008,2021-11-04,Education,Education event,4,Elite Amateur
ATH_0008,2023-01-23,Career change,Started new position,7,Elite Amateur
ATH_0009,2023-08-16,Team change,Team change event,3,Advanced
ATH_0009,2023-08-10,Race victory,Won age group,5,Advanced
ATH_0009,2024-02-23,Race victory,Won age group,3,Advanced
ATH_0009,2024-06-25,Training milestone,Reached 1000km milestone,5,Advanced
ATH_0009,2023-09-13,Training camp,Training camp event,8,Advanced
ATH_0009,2024-05-28,Training camp,Training camp event,6,Advanced
ATH_0010,2023-10-11,Career change,Started new position,5,Elite Amateur
ATH_0010,2024-11-25,Competition,Participated in international competition,3,Elite Amateur
ATH_0010,2021-02-26,Personal best,Personal best event,6,Elite Amateur
ATH_0010,2022-06-03,Sponsorship deal,Sponsorship deal event,7,Elite Amateur
ATH_0010,2024-05-17,Team change,Team change event,6,Elite Amateur
ATH_0010,2022-12-20,Education,Education event,5,Elite Amateur
ATH_0010,2020-12-01,Retirement consideration,Retirement consideration event,7,Elite Amateur
ATH_0010,2020-09-25,Race victory,Won age group,5,Elite Amateur
ATH_0010,2021-03-23,Retirement consideration,Retirement consideration event,5,Elite Amateur
ATH_0010,2021-05-01,Sponsorship deal,Sponsorship deal event,4,Elite Amateur
ATH_0010,2023-10-15,Personal achievement,Personal achievement event,7,Elite Amateur
ATH_0010,2023-01-20,Training milestone,Reached volume record,8,Elite Amateur
ATH_0012,2018-06-16,Career change,Started new position,6,Advanced
ATH_0012,2017-01-04,Retirement consideration,Retirement consideration event,3,Advanced
ATH_0012,2019-10-22,Family event,Family event event,8,Advanced
ATH_0012,2024-07-03,Location change,Relocated to new city,3,Advanced
ATH_0012,2017-01-13,Location change,Relocated to new city,5,Advanced
ATH_0012,2015-10-11,Competition,Participated in local race,2,Advanced
ATH_0012,2015-06-21,Personal achievement,Personal achievement event,7,Advanced
ATH_0012,2018-03-05,Training camp,Training camp event,6,Advanced
ATH_0012,2017-02-13,Family event,Family event event,6,Advanced
ATH_0012,2022-07-26,Competition,Participated in international competition,4,Advanced
ATH_0012,2023-07-18,Training milestone,Reached 500km total,4,Advanced
ATH_0012,2024-10-22,Major competition,Major competition event,7,Advanced
ATH_0012,2019-12-09,Training camp,Training camp event,7,Advanced
ATH_0012,2019-12-16,Injury recovery,Injury recovery event,6,Advanced
ATH_0012,2019-05-12,Education,Education event,7,Advanced
ATH_0012,2019-03-17,Competition,Participated in regional qualifier,5,Advanced
ATH_0012,2021-07-15,Location change,Relocated to new city,8,Advanced
ATH_0012,2017-01-24,Retirement consideration,Retirement consideration event,5,Advanced
ATH_0012,2019-03-26,Career change,Started new position,3,Advanced
ATH_0012,2014-12-27,Competition,Participated in triathlon,6,Advanced
ATH_0012,2021-05-06,Career change,Started new position,8,Advanced
ATH_0013,2019-03-28,Sponsorship deal,Sponsorship deal event,5,Elite Amateur
ATH_0013,2019-01-25,Team change,Team change event,5,Elite Amateur
ATH_0013,2017-06-03,Training camp,Training camp event,4,Elite Amateur
ATH_0013,2023-02-06,Training camp,Training camp event,5,Elite Amateur
ATH_0013,2023-11-05,Career change,Started new position,6,Elite Amateur
ATH_0013,2019-02-01,Retirement consideration,Retirement consideration event,4,Elite Amateur
ATH_0013,2016-01-02,Retirement consideration,Retirement consideration event,1,Elite Amateur
ATH_0013,2015-11-30,Sponsorship deal,Sponsorship deal event,7,Elite Amateur
ATH_0013,2018-11-01,Education,Education event,2,Elite Amateur
ATH_0013,2019-02-02,Retirement consideration,Retirement consideration event,1,Elite Amateur
ATH_0013,2021-01-24,Education,Education event,5,Elite Amateur
ATH_0013,2023-04-15,Coach change,Coach change event,3,Elite Amateur
ATH_0013,2018-05-20,Race victory,Won local race,6,Elite Amateur
ATH_0013,2019-06-05,Coach change,Coach change event,9,Elite Amateur
ATH_0013,2022-07-09,Race victory,Won local race,7,Elite Amateur
ATH_0013,2017-03-29,Location change,Relocated to new city,4,Elite Amateur
ATH_0013,2022-08-03,Retirement consideration,Retirement consideration event,6,Elite Amateur
ATH_0013,2019-04-10,Family event,Family event event,6,Elite Amateur
ATH_0013,2024-11-08,Team change,Team change event,5,Elite Amateur
ATH_0013,2023-08-12,Training camp,Training camp event,5,Elite Amateur
ATH_0013,2024-03-21,Training milestone,Reached personal best,2,Elite Amateur
ATH_0013,2015-03-23,Personal achievement,Personal achievement event,3,Elite Amateur
ATH_0013,2017-03-20,Major competition,Major competition event,2,Elite Amateur
ATH_0014,2022-06-03,Retirement consideration,Retirement consideration event,4,Semi-Pro
ATH_0014,2019-11-20,Education,Education event,6,Semi-Pro
ATH_0014,2011-04-23,Education,Education event,6,Semi-Pro
ATH_0014,2017-06-27,Race victory,Won division title,6,Semi-Pro
ATH_0014,2023-01-04,Personal achievement,Personal achievement event,3,Semi-Pro
ATH_0014,2024-02-01,Race victory,Won age group,9,Semi-Pro
ATH_0014,2022-12-08,Personal achievement,Personal achievement event,3,Semi-Pro
ATH_0014,2023-02-07,Location change,Relocated to new city,1,Semi-Pro
ATH_0014,2020-11-21,Family event,Family event event,6,Semi-Pro
ATH_0014,2021-12-05,Training milestone,Reached consistency streak,4,Semi-Pro
ATH_0014,2017-10-05,Sponsorship deal,Sponsorship deal event,3,Semi-Pro
ATH_0014,2018-01-27,Injury recovery,Injury recovery event,5,Semi-Pro
ATH_0014,2015-07-18,Education,Education event,6,Semi-Pro
ATH_0014,2015-10-25,Retirement consideration,Retirement consideration event,6,Semi-Pro
ATH_0014,2018-08-21,Personal best,Personal best event,6,Semi-Pro
ATH_0014,2011-12-21,Career change,Started new position,3,Semi-Pro
ATH_0014,2016-10-03,Team change,Team change event,8,Semi-Pro
ATH_0014,2016-01-05,Location change,Relocated to new city,7,Semi-Pro
ATH_0014,2020-11-13,Personal achievement,Personal achievement event,7,Semi-Pro
ATH_0014,2023-06-14,Sponsorship deal,Sponsorship deal event,5,Semi-Pro
ATH_0015,2021-08-03,Training camp,Training camp event,3,Intermediate
ATH_0015,2024-10-14,Competition,Participated in triathlon,6,Intermediate
ATH_0015,2021-06-01,Sponsorship deal,Sponsorship deal event,5,Intermediate
ATH_0015,2021-02-01,Competition,Participated in marathon,4,Intermediate
ATH_0015,2023-08-13,Personal best,Personal best event,2,Intermediate
ATH_0015,2020-01-15,Career change,Started new position,7,Intermediate
ATH_0015,2018-07-25,Career change,Started new position,7,Intermediate
ATH_0015,2021-06-18,Personal best,Personal best event,8,Intermediate
ATH_0015,2018-01-17,Training milestone,Reached consistency streak,6,Intermediate
ATH_0016,2018-06-28,Personal achievement,Personal achievement event,6,Elite Amateur
ATH_0016,2021-04-29,Injury recovery,Injury recovery event,4,Elite Amateur
ATH_0016,2024-05-10,Location change,Relocated to new city,6,Elite Amateur
ATH_0016,2020-03-20,Race victory,Won age group,8,Elite Amateur
ATH_0016,2020-10-06,Personal best,Personal best event,4,Elite Amateur
ATH_0016,2024-10-12,Competition,Participated in triathlon,5,Elite Amateur
ATH_0016,2019-09-16,Race victory,Won division title,4,Elite Amateur
ATH_0016,2024-02-11,Team change,Team change event,4,Elite Amateur
ATH_0016,2020-10-29,Competition,Participated in marathon,7,Elite Amateur
ATH_0016,2019-03-02,Family event,Family event event,1,Elite Amateur
ATH_0016,2022-01-17,Personal best,Personal best event,4,Elite Amateur
ATH_0016,2023-05-21,Major competition,Major competition event,5,Elite Amateur
ATH_0016,2023-10-23,Personal achievement,Personal achievement event,4,Elite Amateur
ATH_0016,2021-07-04,Personal achievement,Personal achievement event,6,Elite Amateur
ATH_0016,2020-10-25,Competition,Participated in local race,10,Elite Amateur
ATH_0016,2021-10-07,Personal best,Personal best event,5,Elite Amateur
ATH_0016,2018-02-18,Team change,Team change event,5,Elite Amateur
ATH_0016,2024-11-09,Personal achievement,Personal achievement event,6,Elite Amateur
ATH_0016,2018-08-09,Race victory,Won division title,7,Elite Amateur
ATH_0016,2022-12-10,Race victory,Won local race,6,Elite Amateur
ATH_0017,2024-10-24,Personal best,Personal best event,8,Advanced
ATH_0017,2022-10-16,Major competition,Major competition event,1,Advanced
ATH_0017,2024-01-05,Personal achievement,Personal achievement event,5,Advanced
ATH_0017,2023-07-16,Race victory,Won local race,5,Advanced
ATH_0018,2021-07-07,Major competition,Major competition event,6,Elite Amateur
ATH_0018,2023-06-29,Career change,Started new position,4,Elite Amateur
ATH_0018,2022-10-08,Team change,Team change event,4,Elite Amateur
ATH_0018,2009-02-10,Career change,Started new position,9,Elite Amateur
ATH_0018,2021-10-25,Training camp,Training camp event,6,Elite Amateur
ATH_0018,2019-06-21,Career change,Started new position,8,Elite Amateur
ATH_0018,2012-04-30,Sponsorship deal,Sponsorship deal event,5,Elite Amateur
ATH_0018,2021-12-24,Coach change,Coach change event,7,Elite Amateur
ATH_0018,2021-06-26,Sponsorship deal,Sponsorship deal event,2,Elite Amateur
ATH_0018,2011-04-29,Personal achievement,Personal achievement event,7,Elite Amateur
ATH_0018,2019-10-17,Injury recovery,Injury recovery event,5,Elite Amateur
ATH_0018,2017-10-11,Sponsorship deal,Sponsorship deal event,7,Elite Amateur
ATH_0018,2015-08-09,Team change,Team change event,4,Elite Amateur
ATH_0018,2024-06-13,Competition,Participated in marathon,7,Elite Amateur
ATH_0018,2021-02-28,Retirement consideration,Retirement consideration event,3,Elite Amateur
ATH_0018,2012-12-10,Race victory,Won age group,5,Elite Amateur
ATH_0018,2022-10-23,Team change,Team change event,4,Elite Amateur
ATH_0018,2024-01-19,Education,Education event,3,Elite Amateur
ATH_0018,2022-08-13,Sponsorship deal,Sponsorship deal event,7,Elite Amateur
ATH_0018,2019-07-10,Career change,Started new position,5,Elite Amateur
ATH_0018,2022-06-09,Injury recovery,Injury recovery event,10,Elite Amateur
ATH_0018,2019-11-22,Competition,Participated in local race,2,Elite Amateur
ATH_0018,2010-09-16,Training milestone,Reached 1000km milestone,8,Elite Amateur
ATH_0018,2010-07-23,Coach change,Coach change event,6,Elite Amateur
ATH_0018,2023-07-14,Training milestone,Reached personal best,6,Elite Amateur
ATH_0018,2010-12-15,Career change,Started new position,4,Elite Amateur
ATH_0018,2019-06-26,Career change,Started new position,5,Elite Amateur
ATH_0018,2008-02-28,Career change,Started new position,9,Elite Amateur
ATH_0018,2022-08-23,Training camp,Training camp event,7,Elite Amateur
ATH_0018,2015-03-01,Location change,Relocated to new city,8,Elite Amateur
ATH_0018,2024-04-17,Family event,Family event event,4,Elite Amateur
ATH_0018,2013-08-19,Personal best,Personal best event,5,Elite Amateur
ATH_0018,2024-02-13,Training camp,Training camp event,2,Elite Amateur
ATH_0018,2015-10-20,Family event,Family event event,10,Elite Amateur
ATH_0018,2022-12-02,Competition,Participated in triathlon,6,Elite Amateur
ATH_0018,2011-05-04,Personal achievement,Personal achievement event,8,Elite Amateur
ATH_0018,2012-06-14,Location change,Relocated to new city,7,Elite Amateur
ATH_0018,2012-02-18,Personal achievement,Personal achievement event,6,Elite Amateur
ATH_0018,2012-06-11,Location change,Relocated to new city,4,Elite Amateur
ATH_0019,2020-04-02,Training milestone,Reached 1000km milestone,6,Advanced
ATH_0019,2024-07-30,Injury recovery,Injury recovery event,6,Advanced
ATH_0019,2022-02-06,Training camp,Training camp event,3,Advanced
ATH_0019,2024-03-15,Retirement consideration,Retirement consideration event,4,Advanced
ATH_0019,2022-04-29,Team change,Team change event,5,Advanced
ATH_0019,2021-08-19,Education,Education event,9,Advanced
ATH_0019,2023-11-06,Sponsorship deal,Sponsorship deal event,6,Advanced
ATH_0019,2018-06-13,Race victory,Won local race,6,Advanced
ATH_0019,2020-08-02,Training milestone,Reached 1000km milestone,6,Advanced
ATH_0019,2022-08-21,Training camp,Training camp event,6,Advanced
ATH_0019,2023-08-13,Major competition,Major competition event,6,Advanced
ATH_0021,2017-08-11,Education,Education event,3,Elite Amateur
ATH_0021,2021-11-02,Race victory,Won division title,5,Elite Amateur
ATH_0021,2018-09-24,Team change,Team change event,5,Elite Amateur
ATH_0021,2021-03-20,Career change,Started new position,6,Elite Amateur
ATH_0021,2022-07-24,Retirement consideration,Retirement consideration event,4,Elite Amateur
ATH_0021,2019-11-15,Training milestone,Reached 100km month,4,Elite Amateur
ATH_0021,2010-02-11,Retirement consideration,Retirement consideration event,5,Elite Amateur
ATH_0021,2018-08-07,Location change,Relocated to new city,6,Elite Amateur
ATH_0021,2016-12-13,Race victory,Won division title,5,Elite Amateur
ATH_0021,2018-06-25,Sponsorship deal,Sponsorship deal event,7,Elite Amateur
ATH_0021,2019-01-01,Location change,Relocated to new city,4,Elite Amateur
ATH_0021,2013-12-02,Injury recovery,Injury recovery event,4,Elite Amateur
ATH_0021,2023-05-09,Personal best,Personal best event,5,Elite Amateur
ATH_0021,2014-10-21,Family event,Family event event,6,Elite Amateur
ATH_0021,2010-09-28,Location change,Relocated to new city,5,Elite Amateur
ATH_0021,2013-04-16,Location change,Relocated to new city,1,Elite Amateur
ATH_0021,2016-10-11,Team change,Team change event,8,Elite Amateur
ATH_0021,2015-08-29,Training camp,Training camp event,4,Elite Amateur
ATH_0021,2022-08-01,Training camp,Training camp event,7,Elite Amateur
ATH_0021,2011-06-09,Injury recovery,Injury recovery event,4,Elite Amateur
ATH_0021,2023-03-26,Career change,Started new position,3,Elite Amateur
ATH_0021,2022-04-09,Injury recovery,Injury recovery event,6,Elite Amateur
ATH_0021,2024-09-02,Education,Education event,7,Elite Amateur
ATH_0021,2010-08-30,Injury recovery,Injury recovery event,7,Elite Amateur
ATH_0021,2009-11-05,Race victory,Won age group,4,Elite Amateur
ATH_0021,2020-04-26,Injury recovery,Injury recovery event,5,Elite Amateur
ATH_0021,2021-11-23,Retirement consideration,Retirement consideration event,5,Elite Amateur
ATH_0021,2023-08-31,Family event,Family event event,5,Elite Amateur
ATH_0021,2020-04-25,Family event,Family event event,5,Elite Amateur
ATH_0021,2018-12-05,Training camp,Training camp event,7,Elite Amateur
ATH_0021,2015-07-03,Injury recovery,Injury recovery event,6,Elite Amateur
ATH_0021,2020-06-07,Location change,Relocated to new city,10,Elite Amateur
ATH_0021,2010-08-05,Education,Education event,3,Elite Amateur
ATH_0021,2024-05-29,Education,Education event,9,Elite Amateur
ATH_0021,2010-04-09,Retirement consideration,Retirement consideration event,6,Elite Amateur
ATH_0021,2014-07-14,Career change,Started new position,5,Elite Amateur
ATH_0021,2018-01-16,Career change,Started new position,3,Elite Amateur
ATH_0021,2013-10-07,Injury recovery,Injury recovery event,6,Elite Amateur
ATH_0021,2019-04-20,Education,Education event,2,Elite Amateur
ATH_0022,2024-06-20,Family event,Family event event,5,Beginner
ATH_0022,2024-07-19,Family event,Family event event,6,Beginner
ATH_0022,2024-02-19,Coach change,Coach change event,5,Beginner
ATH_0023,2024-05-01,Location change,Relocated to new city,5,Beginner
ATH_0023,2024-01-11,Injury recovery,Injury recovery event,3,Beginner
ATH_0023,2024-04-01,Retirement consideration,Retirement consideration event,7,Beginner
ATH_0023,2023-02-25,Location change,Relocated to new city,8,Beginner
ATH_0023,2023-08-07,Training milestone,Reached consistency streak,7,Beginner
ATH_0023,2024-11-03,Family event,Family event event,5,Beginner
ATH_0024,2013-01-09,Education,Education event,4,Elite Amateur
ATH_0024,2009-02-25,Training camp,Training camp event,5,Elite Amateur
ATH_0024,2022-12-19,Training camp,Training camp event,7,Elite Amateur
ATH_0024,2018-11-13,Education,Education event,6,Elite Amateur
ATH_0024,2009-06-06,Family event,Family event event,6,Elite Amateur
ATH_0024,2007-12-22,Competition,Participated in triathlon,4,Elite Amateur
ATH_0024,2023-02-17,Training milestone,Reached volume record,7,Elite Amateur
ATH_0024,2022-11-27,Race victory,Won age group,6,Elite Amateur
ATH_0024,2011-06-11,Retirement consideration,Retirement consideration event,4,Elite Amateur
ATH_0024,2022-06-16,Retirement consideration,Retirement consideration event,4,Elite Amateur
ATH_0024,2021-08-29,Training milestone,Reached volume record,6,Elite Amateur
ATH_0024,2010-06-16,Training milestone,Reached 100km month,8,Elite Amateur
ATH_0024,2008-11-21,Injury recovery,Injury recovery event,9,Elite Amateur
ATH_0024,2022-04-07,Major competition,Major competition event,6,Elite Amateur
ATH_0024,2013-09-16,Injury recovery,Injury recovery event,6,Elite Amateur
ATH_0024,2011-01-06,Career change,Started new position,5,Elite Amateur
ATH_0024,2022-08-10,Family event,Family event event,6,Elite Amateur
ATH_0024,2019-09-18,Career change,Started new position,7,Elite Amateur
ATH_0024,2022-02-18,Education,Education event,4,Elite Amateur
ATH_0024,2012-04-16,Team change,Team change event,3,Elite Amateur
ATH_0024,2022-10-29,Location change,Relocated to new city,5,Elite Amateur
ATH_0024,2010-01-04,Retirement consideration,Retirement consideration event,7,Elite Amateur
ATH_0024,2011-03-18,Education,Education event,3,Elite Amateur
ATH_0024,2015-03-04,Career change,Started new position,8,Elite Amateur
ATH_0024,2018-11-14,Personal achievement,Personal achievement event,6,Elite Amateur
ATH_0024,2022-03-28,Training camp,Training camp event,4,Elite Amateur
ATH_0024,2019-11-06,Location change,Relocated to new city,5,Elite Amateur
ATH_0024,2018-06-30,Team change,Team change event,5,Elite Amateur
ATH_0024,2022-07-28,Injury recovery,Injury recovery event,4,Elite Amateur
ATH_0024,2017-02-04,Retirement consideration,Retirement consideration event,6,Elite Amateur
ATH_0024,2017-08-14,Injury recovery,Injury recovery event,6,Elite Amateur
ATH_0024,2013-02-25,Family event,Family event event,6,Elite Amateur
ATH_0024,2015-08-21,Family event,Family event event,7,Elite Amateur
ATH_0024,2021-01-10,Personal achievement,Personal achievement event,7,Elite Amateur
ATH_0024,2021-11-01,Injury recovery,Injury recovery event,3,Elite Amateur
ATH_0024,2016-10-26,Competition,Participated in national event,5,Elite Amateur
ATH_0024,2013-09-24,Retirement consideration,Retirement consideration event,1,Elite Amateur
ATH_0024,2014-07-10,Education,Education event,3,Elite Amateur
ATH_0024,2014-03-16,Location change,Relocated to new city,4,Elite Amateur
ATH_0024,2009-07-25,Retirement consideration,Retirement consideration event,1,Elite Amateur
ATH_0024,2014-05-23,Injury recovery,Injury recovery event,8,Elite Amateur
ATH_0024,2020-10-08,Retirement consideration,Retirement consideration event,9,Elite Amateur
ATH_0024,2009-05-27,Major competition,Major competition event,4,Elite Amateur
ATH_0024,2015-09-24,Competition,Participated in international competition,2,Elite Amateur
ATH_0025,2024-04-09,Training camp,Training camp event,10,Advanced
ATH_0025,2017-10-19,Team change,Team change event,6,Advanced
ATH_0025,2022-11-09,Injury recovery,Injury recovery event,7,Advanced
ATH_0025,2023-03-18,Race victory,Won local race,4,Advanced
ATH_0025,2017-10-14,Coach change,Coach change event,6,Advanced
ATH_0025,2021-04-19,Location change,Relocated to new city,4,Advanced
ATH_0025,2020-11-25,Injury recovery,Injury recovery event,7,Advanced
