athlete_id,date,activity_type,distance_km,duration_minutes,elevation_gain_m,avg_heart_rate,max_heart_rate,calories_burned
ATH_001,2024-03-25,Cycling,74.6,176,2055,131,150,1209
ATH_001,2024-02-17,Basketball,5,42,0,125,139,133
ATH_001,2024-07-16,Triathlon,13.58,74,0,112,124,586
ATH_001,2023-12-03,Triathlon,11.55,116,0,134,159,844
ATH_001,2024-02-01,Cycling,48.61,114,930,138,153,848
ATH_001,2023-04-30,Rowing,7.01,52,0,126,140,381
ATH_001,2024-02-29,Cycling,80.23,189,2102,132,149,1750
ATH_001,2024-12-09,Cycling,89.96,212,550,113,135,2751
ATH_001,2024-02-20,Cycling,79.03,186,1157,128,153,2034
ATH_001,2023-08-05,Cycling,55.47,131,792,136,154,1032
ATH_001,2023-08-29,Cycling,51.79,122,619,135,152,1256
ATH_001,2024-04-10,Cycling,74.37,175,2117,115,133,1484
ATH_001,2024-12-08,Cycling,33.53,79,610,117,135,642
ATH_001,2023-11-13,Cycling,47.08,111,779,100,124,838
ATH_001,2023-06-07,Triathlon,9.42,73,0,125,143,660
ATH_001,2024-06-06,Cycling,69.2,163,170,130,141,1263
ATH_001,2023-08-05,Cycling,58.88,139,974,100,115,975
ATH_001,2023-07-18,Cycling,72.99,172,1037,110,131,1760
ATH_001,2024-02-04,Cycling,85.33,201,797,125,136,1968
ATH_001,2023-06-19,Cycling,69.36,163,1452,127,151,1068
ATH_001,2023-06-05,CrossFit,8.45,68,0,116,133,620
ATH_001,2024-11-25,Basketball,11.4,118,0,129,141,726
ATH_001,2024-08-28,CrossFit,17.66,159,0,142,162,1879
ATH_001,2023-02-01,Cycling,40.9,96,459,122,142,515
ATH_001,2024-04-22,Cycling,103.16,243,0,146,157,1822
ATH_001,2023-12-25,Cycling,80.41,189,2459,134,147,1304
ATH_001,2024-10-09,Triathlon,6.69,49,0,100,111,409
ATH_001,2024-04-15,Cycling,65.87,155,480,138,159,1306
ATH_001,2023-11-02,Cycling,58.59,138,1384,149,162,925
ATH_001,2024-07-04,Football,9.98,76,0,105,130,681
ATH_001,2023-08-07,Cycling,53.59,126,1314,100,113,728
ATH_001,2023-08-24,Cycling,77.22,182,1312,135,157,1574
ATH_001,2023-05-03,Cycling,84.11,198,1302,109,122,1235
ATH_001,2024-07-25,Rowing,15.79,154,0,110,132,1114
ATH_001,2024-09-29,Cycling,75.69,178,1167,121,138,1291
ATH_001,2023-05-22,Cycling,64.91,153,17,111,123,1023
ATH_001,2024-07-15,Cycling,77.07,182,1899,145,164,1267
ATH_001,2023-11-17,Cycling,66.31,156,2089,111,123,1152
ATH_001,2024-09-22,Cycling,80.57,190,1123,144,160,1272
ATH_001,2024-02-25,Cycling,93.36,220,1769,103,124,1381
ATH_001,2023-12-01,Cycling,63.03,148,1788,117,138,991
ATH_001,2023-11-18,Rowing,12.17,119,0,160,174,1039
ATH_001,2023-08-03,Cycling,48.54,114,642,135,159,791
ATH_001,2024-07-05,Cycling,62.35,147,770,136,156,1396
ATH_001,2024-11-15,Cycling,79.19,187,920,109,127,1592
ATH_001,2023-12-18,Basketball,5,47,0,144,156,378
ATH_001,2023-07-18,CrossFit,14.84,144,0,159,174,1564
ATH_001,2023-08-21,Cycling,94.57,223,0,129,140,1796
ATH_001,2023-03-07,Cycling,47.48,112,711,121,136,1041
ATH_001,2024-10-26,Cycling,43.87,103,773,139,162,1047
ATH_001,2023-04-08,Cycling,66.73,157,0,122,139,1322
ATH_001,2024-05-10,Cycling,92.74,219,71,112,127,1050
ATH_001,2023-07-07,Cycling,87.57,206,0,106,121,1130
ATH_001,2023-03-07,Cycling,80.55,190,1785,124,136,1726
ATH_001,2024-11-27,Cycling,71.97,170,1115,118,133,1746
ATH_001,2024-04-29,Cycling,46.13,108,106,116,128,1238
ATH_001,2023-11-21,Tennis,5,36,0,130,155,270
ATH_001,2023-03-30,Running,14.25,79,98,110,122,625
ATH_001,2024-05-05,Cycling,74.35,175,1815,158,174,1342
ATH_001,2023-03-04,Cycling,63.67,150,537,120,136,1379
ATH_001,2023-03-30,Cycling,72.71,171,455,112,134,748
ATH_001,2023-02-21,Running,7.74,43,74,114,132,321
ATH_001,2024-07-24,Cycling,69.52,164,1573,112,127,1992
ATH_001,2024-05-15,Cycling,102.84,242,1321,126,137,1895
ATH_001,2024-11-29,Cycling,99.07,234,1797,108,123,2657
ATH_001,2024-01-23,Cycling,66.27,156,1276,116,126,1094
ATH_001,2024-12-17,Cycling,56.64,133,672,116,137,1257
ATH_001,2024-05-04,Cycling,82.59,195,409,130,153,1617
ATH_001,2024-10-08,Cycling,74.32,175,0,151,169,1849
ATH_001,2024-03-09,Cycling,62.85,148,732,144,162,1505
ATH_001,2024-12-16,Cycling,33.47,79,0,123,137,638
ATH_001,2024-07-20,Running,19.98,111,85,129,142,454
ATH_001,2023-04-18,Swimming,3.02,13,0,110,131,124
ATH_001,2023-03-09,Tennis,13.88,150,0,118,128,1536
ATH_001,2024-09-05,Cycling,76.89,181,1453,115,131,1751
ATH_001,2024-11-21,Cycling,64.42,152,2024,140,157,1206
ATH_001,2023-06-08,Cycling,53.26,125,893,136,161,911
ATH_001,2024-10-10,Cycling,71.11,167,1178,109,131,1230
ATH_001,2024-03-28,Cycling,47.39,111,733,100,118,832
ATH_001,2024-09-22,Cycling,84.96,200,0,126,137,1499
ATH_001,2023-03-11,Cycling,68.45,161,1576,140,163,1383
ATH_001,2023-02-28,Cycling,68.89,162,2167,154,170,882
ATH_001,2024-07-06,Cycling,61.93,146,1337,155,174,1311
ATH_001,2024-05-15,Cycling,51.71,122,962,129,146,919
ATH_001,2024-01-03,Cycling,76.09,179,994,143,153,834
ATH_001,2024-02-14,Cycling,74.91,176,2335,128,144,1094
ATH_001,2024-12-09,Rowing,5.03,29,0,150,167,295
ATH_001,2023-11-24,Tennis,11.95,109,0,141,152,587
ATH_001,2023-08-25,Cycling,56.98,134,202,138,155,1200
ATH_001,2023-03-25,Cycling,76.06,179,1030,153,163,2312
ATH_001,2024-08-11,Cycling,65.58,154,1367,138,151,1374
ATH_001,2023-10-28,Tennis,11.71,103,0,123,142,1069
ATH_001,2024-10-20,Cycling,74.16,175,486,116,141,1698
ATH_001,2024-07-15,Swimming,4.1,46,0,120,133,277
ATH_001,2023-12-04,CrossFit,11.53,100,0,144,157,656
ATH_001,2024-06-25,Cycling,115.06,271,1116,140,160,1610
ATH_001,2023-06-14,Cycling,74.12,175,790,138,160,941
ATH_001,2024-09-10,Cycling,105.75,249,1911,113,134,1677
ATH_001,2023-06-10,Cycling,85.72,202,2515,145,164,1393
ATH_001,2023-01-04,Cycling,93.16,220,1332,116,134,1597
ATH_001,2023-02-14,Cycling,79.16,186,2077,149,165,2040
ATH_001,2024-12-11,Cycling,49.42,116,1413,143,155,1461
ATH_001,2023-01-13,Rowing,9.56,73,0,126,143,684
ATH_001,2023-09-29,Cycling,78.54,185,1014,120,130,2010
ATH_001,2024-12-01,Cycling,69.48,164,1009,149,174,1954
ATH_001,2023-10-03,Cycling,89.84,212,1330,143,164,1392
ATH_001,2024-07-22,Cycling,51.64,121,26,119,136,877
ATH_001,2024-02-26,Cycling,62.91,148,215,110,122,1224
ATH_001,2024-04-25,Cycling,90.1,212,1735,141,164,1880
ATH_001,2024-11-07,Cycling,70.69,166,1674,107,132,1098
ATH_001,2024-05-04,Cycling,57.65,136,1233,117,134,982
ATH_001,2023-05-10,Cycling,71.94,169,223,119,134,1259
ATH_001,2024-10-06,Tennis,15.44,89,0,101,120,764
ATH_001,2024-04-26,Cycling,45.65,107,0,141,154,1282
ATH_001,2024-06-07,Cycling,85.7,202,1069,131,156,1371
ATH_001,2024-05-15,Cycling,74.73,176,2384,129,144,1012
ATH_001,2024-11-12,Cycling,77.81,183,696,118,140,1258
ATH_001,2024-08-04,Cycling,66.42,156,1738,131,143,1150
ATH_001,2024-07-15,Cycling,99.5,235,3514,135,152,1515
ATH_001,2023-09-08,Cycling,72.34,170,1691,135,148,1060
ATH_001,2023-01-30,Rowing,13.96,159,0,116,139,969
ATH_001,2023-05-08,Swimming,1.43,14,0,132,149,114
ATH_001,2023-04-01,Basketball,11.77,80,0,150,169,397
ATH_001,2023-04-01,Cycling,93.98,222,1565,122,144,1646
ATH_001,2023-03-13,Cycling,39.28,92,534,102,119,635
ATH_001,2024-06-06,Cycling,56.52,133,456,130,153,1171
ATH_001,2023-06-26,Cycling,70.56,166,755,127,142,994
ATH_001,2023-01-10,Cycling,57.4,135,911,142,154,1083
ATH_001,2023-08-06,Cycling,66.24,156,1781,165,174,1264
ATH_001,2024-07-30,Cycling,77.02,181,1012,152,171,1247
ATH_001,2023-04-29,Cycling,61.88,146,1282,144,160,1337
ATH_001,2023-03-22,Cycling,67.61,159,116,113,135,841
ATH_001,2023-02-13,Cycling,80.46,190,1125,112,135,1861
ATH_001,2023-09-05,Cycling,81.68,192,969,148,158,1081
ATH_001,2023-11-18,Cycling,65.76,155,758,122,144,1241
ATH_001,2024-09-12,Cycling,93.12,219,343,124,146,1398
ATH_001,2024-12-25,Cycling,93.7,221,883,124,138,2150
ATH_001,2023-01-31,Cycling,57.19,135,348,139,161,1403
ATH_001,2023-10-14,Tennis,5.24,30,0,113,133,286
ATH_001,2023-12-16,CrossFit,5,27,0,100,120,270
ATH_001,2023-08-07,CrossFit,18.03,182,0,148,163,1810
ATH_001,2023-05-14,Cycling,57.02,134,1404,118,138,1190
ATH_001,2024-10-27,Cycling,94.74,223,1506,147,171,1379
ATH_001,2023-09-21,Cycling,68.93,162,1162,136,160,847
ATH_001,2023-07-06,Triathlon,13.28,102,0,130,151,893
ATH_001,2023-02-14,Cycling,84.82,200,2240,115,140,1419
ATH_001,2023-05-05,Cycling,50.73,119,730,141,157,858
ATH_001,2024-09-21,Tennis,9.31,81,0,122,134,783
ATH_001,2024-01-01,Cycling,82.37,194,1429,135,156,1201
ATH_001,2023-02-03,Cycling,73.65,173,0,137,162,1498
ATH_001,2023-11-29,Cycling,57.17,135,969,138,153,1445
ATH_001,2024-02-04,Cycling,66.41,156,1539,145,162,1752
ATH_001,2024-12-08,Tennis,5,47,0,110,131,369
ATH_001,2024-04-10,CrossFit,7.72,79,0,107,129,650
ATH_001,2023-01-16,Cycling,56.32,133,1424,110,125,1046
ATH_001,2023-04-01,Cycling,89.17,210,1982,143,158,1575
ATH_001,2024-12-30,Running,15.6,87,23,150,166,840
ATH_001,2024-04-30,Basketball,19.16,135,0,116,129,777
ATH_001,2023-11-17,Cycling,81.36,192,0,100,115,1812
ATH_001,2023-09-27,Football,9.53,91,0,140,165,673
ATH_001,2024-01-30,Cycling,95.08,224,1324,115,137,1440
ATH_001,2024-11-20,Running,14.61,81,272,151,162,407
ATH_001,2024-10-02,Cycling,66.42,156,1142,138,162,1491
ATH_001,2024-08-05,Cycling,59.26,139,712,119,138,552
ATH_001,2023-01-06,Cycling,49.67,117,1233,147,157,1147
ATH_001,2023-08-27,Cycling,80.63,190,797,128,146,1666
ATH_001,2023-04-21,Cycling,71.15,168,720,115,137,1556
ATH_001,2024-11-11,Cycling,76.3,180,902,123,144,1718
ATH_001,2024-04-06,Cycling,73.66,174,1610,136,155,771
ATH_001,2023-12-26,Tennis,11.66,106,0,109,121,923
ATH_001,2024-04-02,Swimming,2.57,20,0,126,139,180
ATH_001,2023-10-15,Cycling,80.59,190,1442,150,162,1299
ATH_001,2024-01-10,Cycling,49.73,117,1279,158,174,1001
ATH_001,2024-03-15,Cycling,71.41,168,1234,128,149,1214
ATH_001,2023-01-25,Cycling,70.98,167,1517,151,161,1009
ATH_001,2024-09-27,Cycling,76.01,179,1624,123,139,1264
ATH_001,2024-03-05,Cycling,62.67,148,1148,118,139,1278
ATH_001,2024-12-13,Cycling,51.05,120,846,146,169,1087
ATH_001,2024-08-23,Cycling,59.86,141,1290,128,147,1064
ATH_001,2023-10-27,Cycling,86.45,204,2791,152,173,2118
ATH_001,2024-09-26,Rowing,5,36,0,125,144,352
ATH_001,2023-01-24,Cycling,72.36,170,1047,130,155,1876
ATH_001,2024-08-10,Cycling,47.42,112,1107,125,143,968
ATH_001,2024-10-20,Cycling,82.2,194,620,136,155,436
ATH_001,2023-09-05,Basketball,5,52,0,136,158,372
ATH_001,2024-09-03,Cycling,45.99,108,1190,111,135,934
ATH_001,2024-06-11,Cycling,83.14,196,1084,129,154,1694
ATH_001,2024-07-23,Cycling,105.22,248,1912,121,140,1699
ATH_001,2024-07-29,Basketball,13.23,144,0,124,134,1408
ATH_001,2024-03-04,Cycling,64.52,152,1199,132,149,1226
ATH_001,2024-03-23,Cycling,85.66,202,574,130,145,1253
ATH_001,2023-08-16,Football,18.01,163,0,117,142,1256
ATH_001,2023-09-11,Cycling,98.95,233,492,134,156,1591
ATH_001,2024-08-08,Triathlon,17.93,154,0,131,143,1218
ATH_001,2024-07-11,Rowing,13.75,159,0,109,120,1647
ATH_001,2023-03-19,Cycling,59.27,140,287,157,174,907
ATH_001,2023-04-15,Cycling,87.19,205,1636,110,131,829
ATH_001,2024-09-24,Cycling,66.19,156,587,100,120,1282
ATH_001,2023-04-10,CrossFit,12.14,89,0,106,120,857
ATH_001,2024-04-01,Cycling,75.45,178,0,117,130,1438
ATH_001,2023-10-26,Cycling,69.89,165,288,125,149,1714
ATH_001,2023-06-09,Cycling,71.27,168,2064,114,136,1350
ATH_001,2023-10-28,Cycling,82.82,195,0,156,174,1725
ATH_001,2023-09-30,Cycling,80.63,190,686,117,134,291
ATH_001,2024-12-20,Cycling,70.93,167,217,100,124,1208
ATH_001,2024-02-28,Cycling,77.76,183,1399,140,162,879
ATH_001,2024-05-13,Cycling,56.49,133,904,121,141,1341
ATH_001,2023-06-11,Cycling,58.14,137,541,124,137,964
ATH_001,2023-03-15,Cycling,68.92,162,1450,116,137,1951
ATH_001,2024-07-07,Running,8.31,46,109,139,161,373
ATH_001,2023-01-26,Triathlon,5,57,0,144,159,628
ATH_001,2024-04-19,Cycling,43.62,103,1153,129,149,885
ATH_001,2023-10-08,Cycling,70.57,166,612,112,126,1365
ATH_001,2023-02-01,Cycling,85.03,200,257,127,139,2054
ATH_001,2024-02-24,Cycling,72.73,171,1100,143,160,1513
ATH_001,2024-09-20,Cycling,79.88,188,401,118,136,1508
ATH_001,2024-03-28,Football,19.68,143,0,120,139,1177
ATH_001,2024-06-16,Cycling,44.23,104,461,133,151,727
ATH_001,2024-12-13,Cycling,60.39,142,1058,122,136,995
ATH_001,2024-01-21,Rowing,16.71,126,0,149,164,842
ATH_001,2024-02-23,Cycling,86.89,205,557,132,155,2024
ATH_001,2024-12-01,Cycling,97.56,230,1535,146,166,2396
ATH_001,2023-12-21,Cycling,87.73,207,2738,119,130,2004
ATH_001,2023-07-11,Cycling,88.07,208,128,100,120,857
ATH_001,2023-05-24,Cycling,55.02,129,1069,111,131,1198
ATH_001,2023-07-08,Football,19.45,137,0,137,159,1173
ATH_001,2023-12-22,Football,9.76,47,0,133,155,450
ATH_001,2024-04-21,Triathlon,10.82,77,0,111,125,550
ATH_001,2024-08-27,Cycling,58.85,139,1048,132,142,1627
ATH_001,2023-01-12,Cycling,94.79,223,671,130,151,1922
ATH_001,2024-10-15,Cycling,96.71,228,3483,141,161,1475
ATH_001,2023-11-27,Basketball,12.67,122,0,155,174,907
ATH_001,2023-11-18,Cycling,65.47,154,2457,129,148,1410
ATH_001,2024-06-26,Cycling,62.87,148,1702,133,145,820
ATH_001,2024-10-27,Cycling,93.03,219,191,106,122,2001
ATH_001,2024-08-26,Cycling,104.92,247,4195,132,147,1840
ATH_001,2023-06-15,Swimming,1.78,10,0,141,163,44
ATH_001,2023-01-30,Basketball,11.55,105,0,121,140,1222
ATH_001,2023-04-09,Cycling,78.82,186,446,148,169,1954
ATH_001,2023-08-17,Cycling,39.69,93,983,147,166,1201
ATH_001,2024-02-27,Cycling,66.62,157,935,112,134,790
ATH_001,2023-12-05,Basketball,5.75,60,0,115,134,407
ATH_001,2023-03-27,Cycling,91.47,216,741,133,146,2461
ATH_001,2024-02-14,Cycling,52.63,124,649,126,148,881
ATH_001,2024-11-05,Cycling,79.34,187,1633,151,167,1899
ATH_001,2024-03-17,Cycling,52.24,123,1125,148,168,1288
ATH_001,2023-03-23,Cycling,50.94,120,0,121,143,412
ATH_001,2023-09-02,Cycling,59.88,141,774,118,140,1054
ATH_001,2023-12-20,Cycling,64.28,151,2124,116,130,973
ATH_001,2023-10-10,Cycling,60.1,141,939,114,129,724
ATH_001,2023-03-01,Cycling,48.57,114,220,103,113,1004
ATH_001,2024-01-31,Cycling,80.66,190,2432,134,144,1475
ATH_001,2024-07-30,CrossFit,5,33,0,120,135,271
ATH_001,2023-01-10,Swimming,0.79,10,0,109,119,87
ATH_001,2024-05-11,Cycling,94.93,224,2170,151,166,1924
ATH_001,2024-07-26,Cycling,85.36,201,245,116,140,1939
ATH_001,2023-03-31,Cycling,54.25,128,1452,121,133,1231
ATH_001,2023-12-10,Cycling,71.54,168,339,126,143,1300
ATH_001,2023-10-17,Cycling,57.42,135,514,119,144,1038
ATH_001,2024-12-01,Cycling,42.4,100,1300,126,136,331
ATH_001,2023-03-26,Cycling,86.82,205,1065,105,124,2132
ATH_001,2024-06-23,Triathlon,5,37,0,100,122,177
ATH_001,2023-12-10,Cycling,48.29,114,201,120,143,843
ATH_001,2023-08-29,Cycling,76.23,180,894,147,163,1190
ATH_001,2024-08-02,Cycling,78.95,186,265,132,157,1563
ATH_001,2024-11-02,Cycling,91.98,217,2346,122,144,2033
ATH_001,2023-11-24,Cycling,64.47,152,1367,124,139,1518
ATH_001,2024-06-22,Cycling,46.76,110,28,117,135,1385
ATH_001,2023-07-18,Cycling,88.26,208,2281,150,171,1744
ATH_001,2024-07-02,Basketball,14.43,63,0,140,152,672
ATH_001,2024-03-11,Cycling,61.25,144,1113,121,146,1238
ATH_001,2023-05-05,Triathlon,9.18,82,0,119,144,625
ATH_001,2023-08-13,Cycling,75.43,178,1984,135,152,2142
ATH_001,2023-09-03,Cycling,76.57,180,0,137,153,1086
ATH_001,2024-11-13,Cycling,58.38,137,504,123,143,1115
ATH_001,2023-12-27,Cycling,102.24,241,3556,127,144,1300
ATH_001,2024-09-30,Rowing,10.46,82,0,135,146,655
ATH_001,2024-06-09,Cycling,57.6,136,801,120,136,956
ATH_001,2023-06-05,Cycling,74.9,176,0,114,130,1752
ATH_001,2023-03-03,Cycling,97.42,230,447,127,137,1791
ATH_002,2024-04-11,Running,9.85,58,164,153,171,289
ATH_002,2024-11-07,Running,17.83,105,505,147,163,929
ATH_002,2024-12-29,Running,13.64,81,248,159,170,662
ATH_002,2024-08-29,Running,6.38,37,96,153,168,311
ATH_002,2024-06-23,Running,11.7,69,0,138,163,443
ATH_002,2023-09-23,Running,13.25,78,72,151,167,772
ATH_002,2023-07-12,Running,9.95,59,0,166,178,584
ATH_002,2023-08-14,Running,17.87,106,143,133,148,809
ATH_002,2023-07-15,Running,8.15,48,134,100,120,492
ATH_002,2023-09-01,Swimming,2.82,19,0,162,184,133
ATH_002,2023-04-05,Running,7.72,45,157,165,177,280
ATH_002,2024-06-19,Running,9.19,54,0,152,165,539
ATH_002,2023-11-06,Running,11.35,67,210,144,158,675
ATH_002,2023-02-05,Rowing,9.11,77,0,115,135,633
ATH_002,2023-03-27,Running,11.08,65,154,148,167,459
ATH_002,2023-08-17,Basketball,11.33,64,0,118,130,534
ATH_002,2023-05-30,Running,11.5,68,0,135,149,441
ATH_002,2024-11-29,Running,11.59,68,171,178,189,803
ATH_002,2024-10-20,Tennis,14.7,70,0,135,149,631
ATH_002,2023-03-15,Running,20.46,121,237,154,175,790
ATH_002,2024-09-22,Running,9.73,57,29,142,166,639
ATH_002,2023-04-29,Running,21.94,130,56,147,169,1010
ATH_002,2023-11-08,CrossFit,11.39,71,0,142,161,316
ATH_002,2023-10-17,Running,15.34,91,5,139,159,707
ATH_002,2024-12-29,Running,8.15,48,34,154,167,333
ATH_002,2024-12-21,Running,15.21,90,125,111,124,675
ATH_002,2024-09-17,Running,17.84,105,425,171,190,483
ATH_002,2024-07-27,Tennis,8.62,68,0,133,148,462
ATH_002,2023-02-16,Running,8.27,49,132,131,144,425
ATH_002,2024-01-11,Swimming,2.16,11,0,121,145,128
ATH_002,2023-04-06,Running,14.49,86,388,137,162,555
ATH_002,2024-09-23,Tennis,5.07,73,0,130,140,583
ATH_002,2023-02-28,Running,11.52,68,177,114,127,649
ATH_002,2024-05-01,Running,14.22,84,220,158,181,370
ATH_002,2024-08-03,Football,9.06,75,0,147,158,751
ATH_002,2023-09-26,Running,14.08,83,45,141,160,752
ATH_002,2023-01-27,Running,14.15,84,62,114,126,751
ATH_002,2024-03-30,Running,9.89,58,69,126,139,402
ATH_002,2023-11-16,Running,13.78,81,89,136,157,679
ATH_002,2023-07-17,Running,14.96,88,327,145,160,722
ATH_002,2023-09-02,CrossFit,20.28,118,0,139,154,1447
ATH_002,2023-02-17,Running,11.41,67,209,141,165,743
ATH_002,2024-12-06,Cycling,51.43,113,12,136,152,732
ATH_002,2023-01-23,Running,3.11,18,47,140,159,175
ATH_002,2023-05-04,Running,14.32,85,245,116,131,492
ATH_002,2023-06-18,Triathlon,12.32,117,0,147,164,1115
ATH_002,2024-10-30,Running,12.31,73,41,137,148,685
ATH_002,2024-01-19,Running,12.65,75,210,176,191,649
ATH_002,2023-06-22,Running,13.8,81,60,136,146,692
ATH_002,2024-06-12,Running,7.28,43,0,160,173,363
ATH_002,2024-02-27,Running,20.44,121,305,130,153,1100
ATH_002,2023-12-18,Running,17.27,102,163,132,144,872
ATH_002,2023-08-30,Running,15.22,90,234,133,155,911
ATH_002,2023-06-13,Swimming,2.14,18,0,156,181,175
ATH_002,2023-12-03,Basketball,15.99,132,0,130,147,967
ATH_002,2023-01-16,Running,14.43,85,272,112,129,650
ATH_002,2023-02-05,Running,7.33,43,87,109,129,495
ATH_002,2024-07-12,Running,13.29,78,323,123,146,903
ATH_002,2024-12-02,Triathlon,16.46,102,0,113,126,769
ATH_002,2023-10-16,Running,12.47,74,203,130,155,688
ATH_002,2023-07-23,Running,21.65,128,264,147,161,852
ATH_002,2023-12-31,CrossFit,11.61,57,0,122,134,451
ATH_002,2023-10-01,Running,18.39,109,189,134,150,909
ATH_002,2024-10-01,Swimming,1.64,10,0,126,141,46
ATH_002,2024-03-25,Running,12.29,73,253,122,134,438
ATH_002,2023-07-17,Running,18.65,110,170,129,149,1043
ATH_002,2024-12-11,CrossFit,5,42,0,146,167,381
ATH_002,2024-08-13,Rowing,5,38,0,167,177,293
ATH_002,2023-09-29,Running,13.93,82,58,125,136,939
ATH_002,2023-09-15,Rowing,5,32,0,124,134,260
ATH_002,2024-11-03,Triathlon,7.67,62,0,132,148,573
ATH_002,2024-12-02,Running,14.0,83,466,134,152,913
ATH_002,2024-10-11,Running,14.12,83,265,165,175,423
ATH_002,2023-12-24,Triathlon,5,53,0,156,166,466
ATH_002,2024-07-19,Running,16.05,95,328,124,137,484
ATH_002,2023-10-30,Running,12.18,72,243,126,143,539
ATH_002,2024-11-09,Football,20.01,130,0,162,175,1278
ATH_002,2023-01-07,Cycling,70.48,155,0,138,156,1447
ATH_002,2024-08-31,Running,11.81,70,425,122,147,366
ATH_002,2023-03-09,Running,18.2,108,526,152,170,796
ATH_002,2023-04-24,Running,5.59,33,151,141,159,366
ATH_002,2023-01-26,Running,20.75,123,102,119,133,1129
ATH_002,2024-04-19,Running,4.13,24,76,111,132,178
ATH_002,2024-02-08,Running,13.94,82,1,150,173,529
ATH_002,2023-07-08,CrossFit,15.08,117,0,179,191,763
ATH_002,2023-12-20,Running,10.53,62,118,151,174,549
ATH_002,2023-09-27,Running,16.03,95,69,171,183,630
ATH_002,2023-10-20,Running,9.94,59,0,142,153,669
ATH_002,2024-06-11,CrossFit,15.5,135,0,169,180,883
ATH_002,2024-07-15,Running,4.96,29,84,155,173,319
ATH_002,2024-07-15,Running,15.6,92,79,130,148,703
ATH_002,2024-04-28,Running,15.32,91,425,123,138,501
ATH_002,2024-07-27,Football,5,28,0,117,127,257
ATH_002,2023-07-19,Running,13.27,78,66,115,132,733
ATH_002,2023-12-19,Running,15.36,91,477,135,146,831
ATH_002,2023-06-24,Running,11.94,70,186,137,160,459
ATH_002,2023-10-09,Running,8.02,47,0,153,173,392
ATH_002,2023-01-01,Football,8.06,62,0,121,145,371
ATH_002,2023-01-06,Running,4.98,29,16,144,162,140
ATH_002,2023-12-18,Running,10.72,63,78,152,176,531
ATH_002,2023-09-16,Running,14.09,83,98,138,161,1106
ATH_002,2024-05-13,Running,10.0,59,361,136,151,635
ATH_002,2023-04-20,Running,14.1,83,299,128,147,958
ATH_002,2023-10-23,Running,7.78,46,252,169,184,337
ATH_002,2023-12-21,Running,9.5,56,105,101,120,426
ATH_002,2023-05-03,Cycling,51.95,114,973,129,146,1130
ATH_002,2023-12-06,Running,10.39,61,69,129,146,625
ATH_002,2024-12-03,Running,10.82,64,201,129,145,491
ATH_002,2023-01-22,Running,7.03,41,5,147,161,312
ATH_002,2023-01-22,Running,4.94,29,78,150,168,227
ATH_002,2024-07-24,Running,9.88,58,14,124,134,448
ATH_002,2023-03-29,Running,15.44,91,0,116,130,749
ATH_002,2024-04-12,Running,9.93,58,262,117,127,598
ATH_002,2024-11-27,Running,13.1,77,0,113,130,620
ATH_002,2023-09-06,Running,9.46,56,122,136,156,315
