athlete_id,date,energy_level,motivation_level,stress_level,overall_mood,notes
ATH_002,2024-03-30,9,8,2,8,
ATH_002,2023-02-08,9,7,5,5,
ATH_002,2023-04-30,1,5,5,8,
ATH_002,2024-05-18,3,4,9,5,
ATH_002,2023-02-10,2,6,9,1,
ATH_002,2024-01-20,7,1,8,3,
ATH_002,2023-11-22,5,2,1,8,Tired from yesterday
ATH_002,2024-06-11,5,7,5,8,
ATH_002,2024-07-01,6,5,4,8,
ATH_002,2023-05-21,7,7,7,6,
ATH_002,2024-05-23,1,2,6,8,
ATH_002,2023-09-04,9,10,9,5,Felt great today
ATH_002,2023-03-28,2,4,2,6,
ATH_002,2024-10-17,9,5,1,6,
ATH_002,2024-07-29,9,1,10,4,
ATH_002,2023-08-08,6,4,4,4,
ATH_002,2024-08-29,2,5,6,8,Struggled with motivation
ATH_002,2023-12-29,5,5,3,2,
ATH_002,2023-11-02,2,1,1,9,
ATH_002,2024-12-31,9,5,1,8,Felt great today
ATH_002,2023-08-13,2,6,3,4,
ATH_002,2023-04-03,3,6,8,7,
ATH_002,2023-06-18,9,1,9,5,
ATH_002,2024-06-02,9,9,6,7,
ATH_002,2023-01-05,5,8,3,6,Good training session
ATH_002,2023-04-14,8,7,6,7,
ATH_002,2024-03-16,8,2,3,7,
ATH_002,2023-05-17,10,7,4,7,
ATH_002,2023-12-25,2,5,3,8,
ATH_002,2023-07-15,4,5,7,6,Struggled with motivation
ATH_002,2023-04-28,6,7,10,4,
ATH_002,2023-12-08,5,7,3,7,Felt great today
ATH_002,2024-06-11,5,8,2,8,
ATH_002,2023-09-03,10,8,4,7,Struggled with motivation
ATH_002,2024-02-10,1,2,1,7,
ATH_002,2024-10-21,10,6,6,9,
ATH_002,2024-11-10,9,5,4,1,Good training session
ATH_002,2024-02-08,8,8,1,6,
ATH_002,2024-12-04,7,1,1,7,
ATH_002,2024-01-13,6,5,5,7,
ATH_002,2023-08-02,6,9,1,6,Felt great today
ATH_002,2023-02-07,6,10,10,1,
ATH_002,2023-05-29,2,1,9,5,
ATH_002,2023-11-27,8,7,2,6,
ATH_002,2023-11-22,7,9,10,2,
ATH_002,2024-06-02,10,4,3,5,
ATH_002,2024-11-23,1,9,6,6,Tired from yesterday
ATH_002,2024-08-31,8,4,8,7,Feeling strong
ATH_002,2023-12-07,1,5,1,7,Good training session
ATH_002,2024-05-28,2,8,1,8,Recovery day needed
ATH_002,2024-01-30,8,2,6,6,
ATH_003,2024-04-05,1,2,3,4,
ATH_003,2024-12-07,10,2,5,5,Good training session
ATH_003,2023-07-14,9,8,6,10,Feeling strong
ATH_003,2024-02-14,4,5,10,6,
ATH_003,2024-03-26,5,3,9,5,Recovery day needed
ATH_003,2024-02-20,7,8,7,3,
ATH_003,2024-06-18,2,8,6,5,
ATH_003,2023-11-14,9,2,10,3,
ATH_003,2024-01-27,6,9,3,5,
ATH_003,2023-10-06,3,5,2,4,
ATH_003,2024-03-07,5,5,10,4,
ATH_003,2023-09-25,7,8,2,8,
ATH_003,2024-07-15,4,5,5,6,Good training session
ATH_003,2023-07-18,4,7,7,4,Struggled with motivation
ATH_003,2023-10-05,4,8,4,10,Tired from yesterday
ATH_003,2024-10-01,9,6,7,9,
ATH_003,2023-05-26,8,8,1,3,
ATH_003,2023-03-16,8,6,8,3,
ATH_003,2023-11-26,3,5,9,4,
ATH_003,2023-02-02,1,4,5,9,
ATH_003,2023-04-14,8,1,1,7,Feeling strong
ATH_003,2024-10-23,10,8,8,3,
ATH_003,2024-08-13,10,7,7,6,
ATH_003,2023-01-23,7,3,10,7,
ATH_003,2024-12-23,7,3,1,8,
ATH_003,2024-10-17,2,5,8,3,Good training session
ATH_003,2024-01-09,3,3,9,8,Recovery day needed
ATH_003,2024-10-14,6,7,2,8,
ATH_003,2023-10-19,10,9,4,8,
ATH_003,2024-05-08,4,2,5,7,
ATH_003,2023-11-07,8,6,2,7,Felt great today
ATH_003,2023-03-01,4,8,8,6,
ATH_003,2023-08-10,9,5,9,6,
ATH_003,2024-04-21,5,2,6,5,Struggled with motivation
ATH_003,2023-10-15,7,6,1,6,
ATH_003,2023-12-13,5,1,4,7,Felt great today
ATH_003,2023-04-22,7,6,5,6,
ATH_003,2024-07-16,9,2,1,3,
ATH_003,2023-07-20,2,4,3,8,
ATH_003,2024-11-26,7,2,5,8,Felt great today
ATH_003,2023-12-24,6,1,5,8,
ATH_003,2023-06-25,1,10,5,3,
ATH_003,2023-02-12,6,1,7,6,
ATH_003,2024-10-31,9,3,9,5,
ATH_003,2023-10-12,4,7,6,8,
ATH_003,2023-11-04,8,7,8,4,
ATH_003,2024-12-13,4,5,4,7,
ATH_003,2023-01-17,5,1,4,2,
ATH_003,2023-07-12,5,4,1,6,Felt great today
ATH_003,2024-03-19,5,1,7,6,
ATH_003,2023-08-15,1,2,4,7,
ATH_003,2024-10-23,2,3,3,5,
ATH_003,2024-12-16,8,2,5,5,Struggled with motivation
ATH_003,2023-03-05,3,6,5,7,
ATH_003,2024-07-04,5,10,9,6,
ATH_003,2024-04-02,2,7,1,7,Feeling strong
ATH_003,2024-09-25,10,6,5,8,
ATH_003,2024-12-11,8,9,2,6,
ATH_003,2024-07-24,4,10,10,6,
ATH_003,2024-05-12,5,2,6,8,
ATH_003,2023-06-30,9,8,8,6,
ATH_003,2023-08-27,2,5,6,7,
ATH_003,2024-10-01,1,7,4,5,
ATH_003,2023-08-26,10,2,3,5,Recovery day needed
ATH_004,2024-09-13,5,7,9,6,
ATH_004,2024-01-22,1,5,9,3,Good training session
ATH_004,2024-07-16,5,7,3,6,
ATH_004,2023-01-29,2,3,8,5,
ATH_004,2023-02-21,1,3,6,9,Struggled with motivation
ATH_004,2024-06-09,8,1,8,7,
ATH_004,2024-07-21,4,9,3,6,
ATH_004,2024-06-03,1,7,4,6,Feeling strong
ATH_004,2023-07-13,10,7,5,8,
ATH_004,2024-09-24,10,4,3,7,
ATH_004,2023-02-23,7,2,3,7,
ATH_004,2024-05-05,8,2,9,4,Struggled with motivation
ATH_004,2024-07-16,7,2,5,8,
ATH_004,2024-08-11,2,6,3,8,
ATH_004,2024-03-10,6,5,8,5,
ATH_004,2024-11-29,6,1,6,9,Good training session
ATH_004,2023-05-27,10,4,8,9,Feeling strong
ATH_004,2023-06-23,8,9,6,9,
ATH_004,2023-08-02,1,7,5,6,
ATH_004,2023-02-17,9,10,10,5,
ATH_004,2024-01-27,1,2,8,4,Felt great today
ATH_004,2023-12-11,3,3,2,7,Struggled with motivation
ATH_004,2024-04-08,8,6,8,2,
ATH_004,2023-08-20,1,5,10,6,
ATH_004,2023-01-01,2,7,2,4,Good training session
ATH_004,2024-04-22,6,10,8,4,Tired from yesterday
ATH_004,2023-06-11,5,3,2,6,
ATH_004,2024-10-12,10,2,1,10,
ATH_004,2024-12-18,10,4,10,4,Recovery day needed
ATH_004,2024-03-27,6,1,3,9,
ATH_004,2024-09-13,1,2,7,7,
ATH_004,2024-07-30,6,2,6,5,
ATH_004,2023-08-25,9,3,10,7,Tired from yesterday
ATH_004,2023-02-04,3,3,8,3,Recovery day needed
ATH_004,2024-07-04,8,5,6,7,
ATH_004,2024-03-18,10,3,9,2,
ATH_004,2024-11-23,2,6,9,5,
ATH_004,2024-02-29,9,9,5,8,
ATH_004,2024-11-26,2,9,5,2,
ATH_004,2024-05-14,6,4,1,7,Feeling strong
ATH_004,2023-11-27,9,4,10,7,Feeling strong
ATH_004,2023-06-22,9,5,10,4,Good training session
ATH_004,2023-02-10,1,1,3,5,
ATH_004,2024-06-19,10,6,8,4,
ATH_004,2023-09-17,1,5,7,4,Good training session
ATH_004,2023-07-08,6,10,7,3,
ATH_004,2023-03-09,4,3,1,5,Tired from yesterday
ATH_004,2023-01-14,10,8,10,4,Struggled with motivation
ATH_004,2024-10-11,10,6,8,7,
ATH_004,2024-06-22,1,7,7,5,
ATH_004,2024-07-09,9,2,4,7,Tired from yesterday
ATH_004,2024-10-13,2,2,8,8,Felt great today
ATH_004,2023-07-06,5,2,8,7,
ATH_004,2023-06-18,2,6,10,8,
ATH_004,2023-04-04,7,5,4,5,Felt great today
ATH_004,2024-05-01,6,9,1,8,Struggled with motivation
ATH_004,2023-09-26,3,7,3,6,
ATH_004,2023-06-15,10,3,2,9,Tired from yesterday
ATH_004,2023-11-23,8,4,5,7,Struggled with motivation
ATH_004,2023-09-13,1,5,7,8,
ATH_004,2024-10-25,2,8,7,7,Tired from yesterday
ATH_004,2024-01-08,1,8,5,7,Struggled with motivation
ATH_004,2024-05-20,5,8,6,7,
ATH_004,2024-07-02,2,10,9,1,
ATH_004,2024-05-12,2,3,6,8,
ATH_004,2024-05-11,9,1,9,9,
ATH_004,2023-08-23,8,1,7,2,Tired from yesterday
ATH_004,2023-07-05,1,9,3,9,
ATH_004,2023-09-22,1,5,9,5,
ATH_004,2023-04-09,2,6,1,4,Recovery day needed
ATH_005,2024-03-25,5,6,6,10,
ATH_005,2023-06-17,8,2,2,3,
ATH_005,2024-11-28,4,3,9,5,
ATH_005,2024-11-22,5,10,8,6,
ATH_005,2024-05-20,1,9,7,10,
ATH_005,2024-09-15,10,1,3,5,Struggled with motivation
ATH_005,2024-09-24,4,1,10,2,Felt great today
ATH_005,2023-03-16,4,8,1,8,
ATH_005,2024-03-17,6,6,8,6,
ATH_005,2023-08-21,9,6,2,6,
ATH_005,2023-02-19,9,8,7,3,
ATH_005,2023-05-29,1,9,3,6,Struggled with motivation
ATH_005,2023-02-19,3,10,10,5,
ATH_005,2023-05-29,6,9,3,9,
ATH_005,2024-09-24,8,9,6,9,
ATH_005,2024-09-13,4,5,9,3,
ATH_005,2024-02-04,4,4,2,5,
ATH_005,2023-08-21,6,6,9,4,
ATH_005,2023-07-22,10,10,8,8,
ATH_005,2023-07-03,2,7,4,7,
ATH_005,2023-12-20,10,1,6,5,
ATH_005,2024-08-23,2,1,7,7,
ATH_005,2024-08-07,3,10,3,7,
ATH_005,2024-03-11,5,1,8,1,
ATH_005,2023-07-18,8,3,10,3,
ATH_005,2024-06-22,9,4,5,3,Struggled with motivation
ATH_005,2023-03-26,10,2,6,3,
ATH_005,2024-08-21,2,8,6,8,Felt great today
ATH_005,2023-01-17,4,7,5,5,
ATH_005,2023-03-28,9,7,1,6,
ATH_005,2024-04-22,6,2,9,6,
ATH_005,2024-04-29,6,6,5,9,
ATH_005,2024-01-03,9,9,1,7,
ATH_005,2023-11-29,8,9,10,1,
ATH_005,2024-04-08,4,3,7,9,Tired from yesterday
ATH_005,2024-12-17,6,1,2,10,Good training session
ATH_005,2024-10-25,3,4,5,5,
ATH_005,2024-07-11,5,10,1,5,Feeling strong
ATH_005,2023-02-23,1,8,6,4,
ATH_005,2024-11-19,2,9,8,5,
ATH_005,2023-01-21,9,7,5,6,
ATH_005,2023-03-11,8,2,10,8,Struggled with motivation
ATH_005,2023-03-11,4,6,6,5,
ATH_005,2024-09-01,5,5,9,7,Felt great today
ATH_005,2023-04-22,2,9,1,8,
ATH_005,2024-10-02,7,9,3,4,
ATH_005,2023-09-12,7,8,10,3,
ATH_005,2024-05-17,2,5,2,7,
ATH_005,2024-09-09,6,2,8,4,Feeling strong
ATH_005,2023-03-26,8,4,5,8,Good training session
ATH_005,2024-01-20,1,5,7,8,
ATH_005,2023-04-03,5,3,10,4,
ATH_005,2024-03-16,2,8,6,5,
ATH_005,2024-05-19,8,1,3,7,Good training session
ATH_005,2023-05-28,10,1,7,7,Recovery day needed
ATH_005,2024-09-09,8,8,5,7,
ATH_005,2024-01-27,8,10,8,7,
ATH_005,2023-03-31,6,9,7,6,Tired from yesterday
ATH_005,2023-04-21,7,2,3,7,Feeling strong
ATH_005,2024-01-28,3,5,9,5,Feeling strong
ATH_005,2024-07-28,1,4,9,6,
ATH_005,2024-12-29,6,9,1,5,
ATH_005,2024-05-28,3,7,7,5,Struggled with motivation
ATH_005,2024-10-15,3,2,6,6,
ATH_005,2023-03-13,9,2,2,10,Struggled with motivation
ATH_005,2023-02-25,3,4,10,2,
ATH_005,2023-05-23,1,6,2,3,
ATH_005,2023-06-21,7,4,2,4,
ATH_005,2023-08-29,10,3,6,8,
ATH_005,2023-02-10,7,7,2,7,
ATH_005,2024-09-18,7,9,10,5,
ATH_005,2023-03-19,2,6,10,4,Good training session
ATH_005,2024-02-07,5,6,6,9,
ATH_005,2023-12-26,9,1,5,3,Tired from yesterday
ATH_005,2024-05-06,5,1,7,2,
ATH_005,2024-07-08,9,3,6,6,
ATH_005,2024-02-27,10,3,8,2,
ATH_005,2024-04-12,10,8,9,5,
ATH_005,2023-11-01,5,7,3,5,Tired from yesterday
ATH_005,2024-04-07,1,8,2,7,Recovery day needed
ATH_005,2023-01-18,8,1,1,6,
ATH_005,2023-11-16,9,10,7,9,
ATH_005,2024-08-04,8,5,9,3,
ATH_005,2023-10-10,6,1,1,9,
ATH_005,2024-07-19,7,4,1,6,
ATH_005,2023-11-21,5,3,9,4,Recovery day needed
ATH_005,2024-11-08,3,2,8,4,
ATH_005,2023-08-06,7,9,6,3,
ATH_005,2023-04-14,4,9,7,5,
ATH_005,2023-11-28,6,9,7,9,
ATH_005,2023-07-23,5,1,7,7,
ATH_005,2024-10-04,10,6,10,3,Feeling strong
ATH_005,2023-05-21,2,6,8,6,
ATH_005,2024-08-15,5,3,3,9,
ATH_005,2023-10-10,7,9,10,6,
ATH_005,2023-02-02,8,9,10,3,
ATH_005,2023-06-08,2,6,1,4,
ATH_005,2024-06-21,9,3,7,7,
ATH_005,2024-04-16,8,3,1,6,Struggled with motivation
ATH_005,2023-03-12,5,10,5,7,
ATH_005,2024-06-27,7,2,8,7,
ATH_005,2023-09-17,7,9,9,4,
ATH_005,2023-02-10,10,10,3,3,
ATH_005,2024-08-02,1,5,9,4,
ATH_006,2023-04-26,2,1,1,4,
ATH_006,2024-12-21,8,1,4,10,
ATH_006,2023-12-14,7,6,10,6,
ATH_006,2024-05-12,4,5,1,6,Struggled with motivation
ATH_006,2023-04-18,6,5,9,4,Recovery day needed
ATH_006,2023-08-25,10,5,1,7,
ATH_006,2023-05-18,2,1,10,7,
ATH_006,2024-09-18,8,8,3,4,Recovery day needed
ATH_006,2023-09-04,1,9,8,4,
ATH_006,2024-03-24,3,1,8,1,
ATH_006,2024-12-26,4,7,9,3,
ATH_006,2023-09-20,4,1,5,5,
ATH_006,2023-08-23,8,5,9,8,Good training session
ATH_006,2023-11-11,1,9,5,4,
ATH_006,2023-07-19,2,8,7,3,
ATH_006,2023-02-26,4,1,5,5,Good training session
ATH_006,2024-06-09,1,6,4,3,
ATH_006,2023-03-05,3,1,8,3,Feeling strong
ATH_006,2023-09-13,4,7,2,7,
ATH_006,2024-05-31,8,5,2,10,
ATH_006,2023-12-20,8,10,6,9,
ATH_006,2024-10-19,4,6,1,5,Feeling strong
ATH_006,2024-06-09,7,6,6,7,
ATH_006,2024-10-05,9,1,3,4,
ATH_006,2024-05-28,2,8,3,7,
ATH_006,2024-04-18,8,8,5,7,
ATH_006,2024-03-25,4,4,9,6,
ATH_006,2024-09-25,9,5,4,6,
ATH_006,2024-07-02,2,9,7,10,
ATH_006,2024-10-04,6,4,5,6,
ATH_006,2024-09-12,7,2,10,2,Tired from yesterday
ATH_006,2024-03-20,7,10,9,3,
ATH_006,2024-03-17,5,10,5,6,
ATH_006,2023-11-20,7,4,2,5,
ATH_006,2024-06-19,2,9,3,6,
ATH_006,2023-04-10,7,8,3,2,Recovery day needed
ATH_006,2023-08-11,4,6,4,7,Felt great today
ATH_006,2024-03-31,6,4,7,5,Struggled with motivation
ATH_006,2023-03-23,9,8,2,10,Tired from yesterday
ATH_006,2023-09-06,5,6,10,3,
ATH_006,2023-05-29,10,9,8,5,
ATH_006,2024-05-07,1,7,1,4,
ATH_006,2024-08-08,7,8,3,10,
ATH_006,2024-10-26,2,7,9,4,
ATH_006,2023-11-25,6,2,10,6,
ATH_006,2024-05-25,4,5,6,5,Struggled with motivation
ATH_006,2024-12-22,4,9,4,8,Good training session
ATH_006,2023-05-13,3,8,10,2,
ATH_006,2024-07-13,10,7,9,5,
ATH_006,2023-06-29,9,7,5,4,
ATH_006,2024-04-24,2,3,1,9,
ATH_006,2023-03-13,9,10,4,7,
ATH_006,2024-11-19,10,5,5,10,
ATH_006,2023-02-21,5,10,1,4,Recovery day needed
ATH_006,2024-10-09,9,6,1,3,Struggled with motivation
ATH_006,2024-02-04,2,4,9,3,Feeling strong
ATH_006,2023-07-16,4,5,8,5,
ATH_006,2023-06-28,3,8,3,9,
ATH_006,2023-04-25,1,8,8,6,
ATH_006,2023-06-16,10,2,8,1,
ATH_006,2023-09-21,10,5,5,8,
ATH_006,2024-03-17,1,10,8,6,Tired from yesterday
ATH_006,2023-12-21,6,8,1,5,
ATH_006,2023-12-15,2,6,10,4,Feeling strong
ATH_006,2024-01-17,2,3,8,7,
ATH_006,2024-11-17,9,5,8,2,Struggled with motivation
ATH_006,2023-02-16,1,3,8,6,
ATH_006,2024-12-27,2,9,10,5,
ATH_006,2024-01-28,5,3,5,9,
ATH_006,2024-10-18,7,10,6,5,
ATH_006,2023-05-06,1,10,10,3,
ATH_006,2023-11-13,10,3,3,8,
ATH_006,2024-09-01,8,5,4,5,
ATH_006,2024-06-17,10,4,4,4,
ATH_006,2024-03-20,10,9,4,8,
ATH_006,2023-06-03,10,10,1,4,Feeling strong
ATH_006,2024-11-05,4,5,5,6,Good training session
ATH_006,2023-09-19,9,4,8,5,
ATH_006,2024-02-16,3,4,3,5,
ATH_006,2024-10-19,5,7,3,7,Feeling strong
ATH_006,2023-12-06,5,6,8,3,Tired from yesterday
ATH_006,2023-12-15,4,2,5,10,Good training session
ATH_006,2024-01-27,7,5,2,7,
ATH_006,2024-08-14,2,8,3,9,
ATH_006,2024-07-22,2,1,2,4,
ATH_006,2023-10-30,6,1,9,3,Good training session
ATH_006,2024-09-07,5,2,6,9,
ATH_006,2024-09-09,10,5,3,7,Good training session
ATH_006,2024-11-02,1,10,3,7,Good training session
ATH_006,2024-09-03,8,10,2,4,Felt great today
ATH_006,2024-09-26,2,6,2,5,
ATH_006,2024-06-15,3,8,8,7,Good training session
ATH_006,2024-03-01,7,10,3,5,
ATH_007,2024-01-17,1,10,1,8,
ATH_007,2023-05-17,2,6,7,8,
ATH_007,2024-02-21,2,3,4,4,
ATH_007,2023-03-19,5,6,5,8,
ATH_007,2024-08-24,9,3,1,9,Felt great today
ATH_007,2023-03-19,3,7,9,2,
ATH_007,2024-04-17,4,7,5,9,
ATH_007,2024-02-02,7,10,3,6,
ATH_007,2024-10-23,10,3,2,4,
ATH_007,2023-09-27,3,9,3,8,Recovery day needed
ATH_007,2024-06-21,6,4,5,5,
ATH_007,2023-09-18,6,2,3,7,Struggled with motivation
ATH_007,2023-12-01,2,5,8,8,Good training session
ATH_007,2023-01-20,8,7,1,7,
ATH_007,2024-12-30,9,1,2,6,
ATH_007,2024-01-18,8,6,8,1,Tired from yesterday
ATH_007,2023-10-29,4,5,7,8,Recovery day needed
ATH_007,2023-01-21,7,10,6,7,Struggled with motivation
ATH_007,2023-03-26,10,2,7,6,Good training session
ATH_007,2024-09-03,10,1,6,7,
ATH_007,2023-04-14,7,2,4,8,
ATH_007,2023-05-04,4,2,4,7,
ATH_007,2023-02-27,7,10,6,8,
ATH_007,2024-12-30,4,5,4,2,
ATH_007,2024-04-25,9,4,9,7,
ATH_007,2023-01-27,5,4,10,4,
ATH_007,2024-01-15,7,6,1,8,
ATH_007,2023-12-12,2,3,10,3,Struggled with motivation
ATH_007,2024-09-16,5,8,4,8,
ATH_007,2024-04-07,7,2,10,8,Feeling strong
ATH_007,2023-10-17,9,10,1,6,
ATH_007,2024-06-12,3,5,5,6,
ATH_007,2024-12-28,10,2,9,8,
ATH_007,2023-10-14,2,7,5,6,
ATH_007,2024-06-06,6,6,2,6,Feeling strong
ATH_007,2024-05-28,3,2,5,9,Recovery day needed
ATH_007,2024-07-09,4,5,2,9,
ATH_007,2023-04-25,2,6,8,2,
ATH_007,2023-03-14,6,3,3,3,
ATH_007,2023-10-27,3,8,6,7,
ATH_007,2024-01-25,9,3,9,2,Struggled with motivation
ATH_007,2024-02-20,9,2,1,7,
ATH_007,2023-03-06,3,2,5,7,
ATH_007,2024-12-16,9,4,5,6,
ATH_007,2023-05-22,6,1,7,6,
ATH_007,2023-01-25,1,3,9,3,
ATH_007,2024-02-01,8,10,3,7,Felt great today
ATH_007,2023-11-05,10,9,5,5,Recovery day needed
ATH_007,2024-10-14,7,6,9,7,
ATH_007,2024-02-20,5,9,8,4,
ATH_007,2023-12-22,10,4,10,6,
ATH_007,2024-04-08,5,9,7,9,
ATH_007,2024-06-25,5,2,2,5,
ATH_007,2023-02-01,8,6,4,5,Tired from yesterday
ATH_007,2023-06-17,4,4,1,7,
ATH_007,2024-06-06,8,9,7,7,Tired from yesterday
ATH_007,2024-08-19,6,10,4,6,
ATH_007,2024-12-23,9,7,10,6,
ATH_007,2024-07-09,7,7,9,1,Felt great today
ATH_007,2024-05-29,9,3,10,5,
ATH_007,2024-12-10,7,4,10,4,Struggled with motivation
ATH_007,2024-05-19,10,2,8,9,
ATH_007,2023-12-12,9,7,5,8,
ATH_007,2023-06-05,6,8,6,4,
ATH_007,2023-09-07,8,9,8,2,
ATH_007,2023-04-08,10,8,1,6,
ATH_007,2023-02-16,8,9,8,6,
ATH_007,2024-07-14,5,6,2,4,
ATH_007,2024-05-10,9,5,2,5,
ATH_008,2024-12-10,1,3,9,4,
ATH_008,2023-05-23,5,5,3,8,
ATH_008,2024-02-08,5,5,5,7,
ATH_008,2024-12-23,8,3,2,7,
ATH_008,2023-04-06,4,1,2,7,Feeling strong
ATH_008,2024-07-30,9,5,7,7,Struggled with motivation
ATH_008,2023-05-03,8,4,5,6,
ATH_008,2023-02-24,7,2,10,8,
ATH_008,2024-03-27,2,3,9,8,Feeling strong
ATH_008,2024-07-15,4,9,10,3,Tired from yesterday
ATH_008,2024-10-16,1,3,1,5,
ATH_008,2024-08-12,8,7,1,7,
ATH_008,2024-12-12,7,8,6,7,Recovery day needed
ATH_008,2023-10-20,4,8,7,9,
ATH_008,2024-05-30,5,8,5,7,
ATH_008,2023-09-28,3,4,9,5,
ATH_008,2023-10-15,1,5,2,6,Feeling strong
ATH_008,2023-10-01,7,3,7,6,
ATH_008,2024-01-17,8,7,7,8,Struggled with motivation
ATH_008,2024-03-17,3,2,8,4,Tired from yesterday
ATH_008,2024-12-07,8,7,9,9,Feeling strong
ATH_008,2024-10-10,5,7,3,5,
ATH_008,2024-06-22,4,7,8,5,
ATH_008,2024-04-28,9,9,4,7,Good training session
ATH_008,2024-06-23,10,5,7,4,Recovery day needed
ATH_008,2024-03-12,8,2,4,4,
ATH_008,2024-06-11,4,8,6,4,
ATH_008,2023-12-18,7,5,5,6,
ATH_008,2024-06-13,2,1,10,6,
ATH_008,2024-02-07,3,5,7,10,
ATH_008,2024-10-04,5,7,8,1,
ATH_008,2023-02-28,5,2,9,4,
ATH_008,2024-10-18,2,1,7,8,
ATH_008,2023-01-01,6,4,6,6,Struggled with motivation
ATH_008,2024-08-29,2,9,3,6,
ATH_008,2024-07-29,5,9,9,3,
ATH_008,2023-11-12,5,5,6,6,
ATH_008,2024-01-08,10,5,2,6,Feeling strong
ATH_008,2023-09-01,5,3,7,5,
ATH_008,2024-01-21,7,1,6,7,
ATH_008,2024-10-01,6,8,2,9,
ATH_008,2023-04-09,4,8,5,5,
ATH_008,2023-08-06,10,2,4,5,Feeling strong
ATH_008,2023-08-14,3,2,7,9,
ATH_008,2024-12-19,1,7,2,4,
ATH_008,2023-08-09,8,6,6,4,Struggled with motivation
ATH_008,2024-05-03,5,2,2,6,
ATH_008,2023-07-09,1,4,4,8,
ATH_008,2023-03-28,6,4,8,5,
ATH_008,2023-07-31,6,6,3,6,
ATH_008,2023-08-30,5,1,1,6,Recovery day needed
ATH_008,2024-10-29,2,10,9,8,
ATH_008,2024-04-25,8,1,6,7,
ATH_008,2024-01-12,4,2,9,6,
ATH_008,2023-08-09,9,1,8,4,
ATH_008,2023-08-23,4,4,3,7,
ATH_008,2024-06-24,8,2,2,7,
ATH_008,2024-10-20,7,4,5,7,
ATH_008,2024-01-29,9,4,6,6,
ATH_008,2024-03-18,7,7,2,9,Recovery day needed
ATH_008,2024-12-02,5,9,8,7,
ATH_008,2024-10-05,8,4,1,10,Tired from yesterday
ATH_008,2024-05-23,7,7,4,6,
ATH_008,2024-09-06,10,6,9,4,
ATH_008,2024-04-28,7,6,6,8,Feeling strong
